source,target,stmt_type,statement_text,belief,evidence_count,logfoldchange,pval
NOS3,NOS3,DecreaseAmount,NOS3 decreases the amount of NOS3,0.997489065,34,-1.1164256,0.0115696030498703
BMPER,PCNA,DecreaseAmount,BMPER decreases the amount of PCNA,0.65,1,0.7443756,0.0114885660323374
UQCRC1,UQCRC1,DecreaseAmount,UQCRC1 decreases the amount of UQCRC1,0.86,2,-1.6226808,4.453210348219637e-11
EZR,CTTN,IncreaseAmount,EZR (phosphorylated) increases the amount of CTTN,0.65,1,0.34638286,0.0410429742727176
EZR,CTNNB1,DecreaseAmount,EZR decreases the amount of CTNNB1,0.86,2,-0.5684989,0.0090742043400677
EZR,EZR,IncreaseAmount,EZR increases the amount of EZR,0.951,3,-0.42340696,0.0037444256746797
EZR,EZR,DecreaseAmount,EZR decreases the amount of EZR,0.99299724438,11,-0.42340696,0.0037444256746797
TNXB,BAX,DecreaseAmount,TNXB decreases the amount of BAX,0.86,2,-0.19466251,0.0074598479306732
P2RX7,SREBF1,IncreaseAmount,P2RX7 increases the amount of SREBF1,0.65,1,-0.9253162,0.0330283852826399
P2RX7,CCL2,IncreaseAmount,P2RX7 increases the amount of CCL2,0.951,3,0.5610984,0.0175120230066466
P2RX7,HSPB1,DecreaseAmount,P2RX7 decreases the amount of HSPB1,0.86,2,0.19288,0.0060445664159603
P2RX7,HMGB1,IncreaseAmount,P2RX7 increases the amount of HMGB1,0.65,1,-0.16195768,0.0216793993072927
P2RX7,HMGB1,DecreaseAmount,P2RX7 decreases the amount of HMGB1,0.65,1,-0.16195768,0.0216793993072927
P2RX7,CD81,DecreaseAmount,P2RX7 decreases the amount of CD81,0.65,1,0.16083325,0.0363240087378307
P2RX7,CAV1,IncreaseAmount,P2RX7 increases the amount of CAV1,0.65,1,-0.21291047,0.0114268755674315
REST,REST,IncreaseAmount,REST (modified) increases the amount of REST,0.86,2,-0.6696598,0.0157351126044829
REST,REST,IncreaseAmount,REST increases the amount of REST,0.65,1,-0.6696598,0.0157351126044829
REST,REST,IncreaseAmount,REST increases the amount of REST,0.949999468559,9,-0.6696598,0.0157351126044829
REST,REST,DecreaseAmount,REST (modified) decreases the amount of REST,0.86,2,-0.6696598,0.0157351126044829
REST,REST,DecreaseAmount,REST decreases the amount of REST,0.9929997519942,11,-0.6696598,0.0157351126044829
PRKAR1A,PRKAR1A,IncreaseAmount,PRKAR1A increases the amount of PRKAR1A,0.65,1,-0.8642853,4.8475151695377645e-09
PRKAR1A,PRKAR1A,DecreaseAmount,PRKAR1A decreases the amount of PRKAR1A,0.86,2,-0.8642853,4.8475151695377645e-09
ITGB4,PTK2,IncreaseAmount,ITGB4 increases the amount of PTK2,0.65,1,-0.30914155,0.0318194897554889
DNMT3A,CDKN1A,DecreaseAmount,DNMT3A (modified) decreases the amount of CDKN1A,0.65,1,0.3059091,0.0168115697713021
DNMT3A,CDKN1A,DecreaseAmount,DNMT3A decreases the amount of CDKN1A,0.996388,5,0.3059091,0.0168115697713021
DNMT3A,CDKN1A,IncreaseAmount,DNMT3A increases the amount of CDKN1A,0.65,1,0.3059091,0.0168115697713021
POGZ,POGZ,IncreaseAmount,POGZ increases the amount of POGZ,0.65,1,-0.9652684,0.0284897593451093
EDEM2,EDEM2,DecreaseAmount,EDEM2 decreases the amount of EDEM2,0.65,1,-1.3492873,0.0018916440748179
IQGAP1,CCND1,IncreaseAmount,IQGAP1 increases the amount of CCND1,0.8775000000000001,2,-0.31111857,0.0177701784671469
IQGAP1,IQGAP1,IncreaseAmount,IQGAP1 (modified) increases the amount of IQGAP1,0.65,1,-0.7138079,1.0897107327220791e-05
IQGAP1,IQGAP1,IncreaseAmount,IQGAP1 increases the amount of IQGAP1,0.951,2,-0.7138079,1.0897107327220791e-05
IQGAP1,IQGAP1,DecreaseAmount,IQGAP1 decreases the amount of IQGAP1,0.994071,6,-0.7138079,1.0897107327220791e-05
TMEM115,TMEM115,IncreaseAmount,TMEM115 increases the amount of TMEM115,0.65,1,-2.0381942,0.0212671831118692
ARHGAP26,ARHGAP26,IncreaseAmount,ARHGAP26 (modified) increases the amount of ARHGAP26,0.65,1,-0.8238565,0.0294732759254482
ARHGAP26,ARHGAP26,DecreaseAmount,ARHGAP26 decreases the amount of ARHGAP26,0.65,1,-0.8238565,0.0294732759254482
PLPP3,CTNNB1,DecreaseAmount,PLPP3 decreases the amount of CTNNB1,0.65,1,0.39352438,0.0382439780394716
PLPP3,CTNNB1,IncreaseAmount,PLPP3 increases the amount of CTNNB1,0.9804,4,0.39352438,0.0382439780394716
ENSA,ENSA,IncreaseAmount,ENSA (modified) increases the amount of ENSA,0.65,1,-1.5306007,1.7196602696147483e-09
RGS12,VIM,DecreaseAmount,RGS12 decreases the amount of VIM,0.65,1,-0.082251325,0.0066951517654336
RGS12,TEAD1,DecreaseAmount,RGS12 decreases the amount of TEAD1,0.65,1,-0.7452888,0.0375212416859513
POLG,SSBP1,IncreaseAmount,POLG increases the amount of SSBP1,0.65,1,-0.4563767,0.0017219392087685
CLIC1,CLIC1,DecreaseAmount,CLIC1 decreases the amount of CLIC1,0.951,3,-2.0142326,2.5544473377889075e-32
CLIC1,CLIC1,IncreaseAmount,CLIC1 increases the amount of CLIC1,0.923,3,-2.0142326,2.5544473377889075e-32
TNFRSF1B,CYCS,IncreaseAmount,TNFRSF1B increases the amount of CYCS,0.65,1,-0.32945305,0.0291454783604059
TNFRSF1B,UCP2,IncreaseAmount,TNFRSF1B increases the amount of UCP2,0.65,1,0.7498844,0.0290332502821356
TNFRSF1B,TXN,DecreaseAmount,TNFRSF1B (modified) decreases the amount of TXN,0.86,2,-0.25143313,0.0154426396417367
SOX4,HES1,IncreaseAmount,SOX4 (modified) increases the amount of HES1,0.65,1,-0.8383733,0.0416745790339739
SOX4,SOX4,DecreaseAmount,SOX4 decreases the amount of SOX4,0.94757,5,-0.9442669,6.936561060115683e-07
SOX4,SOX4,IncreaseAmount,SOX4 (modified) increases the amount of SOX4,0.923,3,-0.9442669,6.936561060115683e-07
SOX4,SOX4,IncreaseAmount,SOX4 increases the amount of SOX4,0.9970949907369834,14,-0.9442669,6.936561060115683e-07
MYEOV,CCND1,IncreaseAmount,MYEOV increases the amount of CCND1,0.65,1,0.47592026,0.0001143785326805
SMARCC1,SMARCC1,IncreaseAmount,SMARCC1 increases the amount of SMARCC1,0.65,1,-0.68776613,0.0060627263440625
SMARCC1,SMARCC1,DecreaseAmount,SMARCC1 decreases the amount of SMARCC1,0.65,1,-0.68776613,0.0060627263440625
SMARCC1,SMARCC1,IncreaseAmount,SMARCC1 increases the amount of SMARCC1,0.9265,1,-0.68776613,0.0060627263440625
NEAT1,NEAT1,DecreaseAmount,NEAT1 decreases the amount of NEAT1,0.65,1,-2.377179,5.432939932736682e-32
PDCD6,PDCD6,IncreaseAmount,PDCD6 increases the amount of PDCD6,0.65,1,-0.93209773,6.687019409648356e-07
PHF19,HIF1A,IncreaseAmount,PHF19 (modified) increases the amount of HIF1A,0.65,1,-0.34906313,0.0260208008835908
RAD50,RAD50,DecreaseAmount,RAD50 decreases the amount of RAD50,0.65,1,-1.1921043,0.0002132684886514
CDH13,AKT3,DecreaseAmount,CDH13 decreases the amount of AKT3,0.86,2,-0.7100102,0.0157479219327631
RAP1GDS1,RAP1GDS1,DecreaseAmount,RAP1GDS1 decreases the amount of RAP1GDS1,0.923,3,-1.219261,0.0006555635144037
THBD,THBD,DecreaseAmount,THBD (modified) decreases the amount of THBD,0.86,2,-1.5611095,2.0501365652457402e-07
THBD,THBD,DecreaseAmount,THBD decreases the amount of THBD,0.982423455,6,-1.5611095,2.0501365652457402e-07
THBD,THBD,IncreaseAmount,THBD increases the amount of THBD,0.99289794,8,-1.5611095,2.0501365652457402e-07
NUB1,NEDD8,IncreaseAmount,NUB1 increases the amount of NEDD8,0.8775000000000001,2,-0.17037643,0.0413665438924531
NUB1,NEDD8,DecreaseAmount,NUB1 decreases the amount of NEDD8,0.996093867,6,-0.17037643,0.0413665438924531
NUB1,NEDD8,DecreaseAmount,NUB1 (modified) decreases the amount of NEDD8,0.923,3,-0.17037643,0.0413665438924531
NUB1,SQSTM1,IncreaseAmount,NUB1 increases the amount of SQSTM1,0.65,1,0.248485,0.0419582276178995
NUB1,NUB1,DecreaseAmount,NUB1 decreases the amount of NUB1,0.86,1,-2.0136871,8.093254999232249e-07
NUB1,NUB1,DecreaseAmount,NUB1 decreases the amount of NUB1,0.65,1,-2.0136871,8.093254999232249e-07
HIF1A,DICER1,IncreaseAmount,HIF1A increases the amount of DICER1,0.65,1,0.67676073,0.0034062926173334
HIF1A,DICER1,DecreaseAmount,HIF1A (modified) decreases the amount of DICER1,0.65,1,0.67676073,0.0034062926173334
HIF1A,PRDX2,IncreaseAmount,HIF1A increases the amount of PRDX2,0.65,1,-0.3174951,0.0117748511629572
HIF1A,NR3C1,DecreaseAmount,HIF1A decreases the amount of NR3C1,0.65,1,0.5873461,0.048553108247627
HIF1A,NR3C1,IncreaseAmount,HIF1A increases the amount of NR3C1,0.923,3,0.5873461,0.048553108247627
HIF1A,NCOA3,DecreaseAmount,HIF1A decreases the amount of NCOA3,0.65,1,0.6560204,0.0004262256096631
HIF1A,LYN,DecreaseAmount,HIF1A decreases the amount of LYN,0.65,1,0.6425842,0.0130497290985694
HIF1A,LDHB,DecreaseAmount,HIF1A decreases the amount of LDHB,0.951,3,-0.16105886,0.0248400493980227
HIF1A,ITGA2,IncreaseAmount,HIF1A increases the amount of ITGA2,0.65,1,0.35955805,0.0340027338719182
