perturbation,total_targets,explained_1hop,explained_2hop,explained_3hop,explained_1hop_excl,explained_2hop_excl,explained_3hop_excl,total_explained,coverage_1hop,coverage_2hop,coverage_3hop,coverage_total,unexplained
IRF1,157,10,143,154,10,133,11,154,6.369426751592357,91.0828025477707,98.08917197452229,98.08917197452229,3
IRF3,142,4,128,141,4,124,13,141,2.8169014084507045,90.14084507042254,99.29577464788733,99.29577464788733,1
IST1,174,0,36,174,0,36,138,174,0.0,20.689655172413794,100.0,100.0,0
ITGA1,154,0,78,152,0,78,74,152,0.0,50.649350649350644,98.7012987012987,98.7012987012987,2
ITGB4,132,1,76,129,1,75,53,129,0.7575757575757576,57.57575757575758,97.72727272727273,97.72727272727273,3
KALRN,166,0,94,165,0,94,71,165,0.0,56.62650602409639,99.3975903614458,99.3975903614458,1
KCTD9,153,0,15,150,0,15,135,150,0.0,9.803921568627452,98.0392156862745,98.0392156862745,3
KDELR2,210,1,78,207,1,77,129,207,0.4761904761904762,37.142857142857146,98.57142857142858,98.57142857142858,3
KDM6B,153,2,142,149,2,140,7,149,1.3071895424836601,92.81045751633987,97.38562091503267,97.38562091503267,4
KIF3A,162,1,81,161,1,80,80,161,0.6172839506172839,50.0,99.38271604938271,99.38271604938271,1
KLHL7,191,0,47,188,0,47,141,188,0.0,24.60732984293194,98.42931937172776,98.42931937172776,3
KMT2D,176,0,165,174,0,165,9,174,0.0,93.75,98.86363636363636,98.86363636363636,2
KPNA2,192,1,164,191,1,163,27,191,0.5208333333333333,85.41666666666666,99.47916666666666,99.47916666666666,1
LAG3,132,0,124,130,0,124,6,130,0.0,93.93939393939394,98.48484848484848,98.48484848484848,2
LAPTM4A,160,0,71,156,0,71,85,156,0.0,44.375,97.5,97.5,4
LIPG,152,0,115,152,0,115,37,152,0.0,75.6578947368421,100.0,100.0,0
LMAN1,173,1,61,172,1,60,111,172,0.5780346820809248,35.26011560693642,99.42196531791907,99.42196531791907,1
