source,intermediate_1,intermediate_2,target,stmt_type_1,stmt_type_2,stmt_type_3,belief_1,belief_2,belief_3,evidence_1,evidence_2,evidence_3,logfoldchange,pval
PVT1,MYC,POU3F2,FAM50A,Inhibition,DecreaseAmount,DecreaseAmount,0.98922,0.9937,0.79,5,4,1,0.3082771,0.0084728912068101
PVT1,hgnc:uniprot:P32554,hgnc:mesh:D052638,RPL34,Complex,Complex,IncreaseAmount,0.9419,0.923,0.89,4,3,1,0.081773564,0.0090634598005069
PVT1,hgnc:uniprot:P32554,hgnc:mesh:D052638,AMD1,Complex,Complex,IncreaseAmount,0.9419,0.923,0.98,4,3,1,0.42065203,0.0090830235363462
PVT1,TP53,PPP1R2,SLC27A5,Complex,Activation,DecreaseAmount,0.923,0.86,0.89,3,2,1,0.45400983,0.0094822965411938
PVT1,hgnc:uniprot:Q9ZPE7,hgnc:uniprot.chain:PRO_0000032458,FASN,Complex,Complex,IncreaseAmount,0.94757,0.86,0.86,5,2,2,0.37052125,0.0095339722515884
PVT1,TP53,hgnc:uniprot:P24647,HSPA8,Complex,Complex,IncreaseAmount,0.923,0.949980317,0.86,3,9,1,0.20580436,0.0095564884774305
PVT1,hgnc:uniprot:Q9W4S7,MYC,NME2,Complex,Complex,IncreaseAmount,0.86,0.9497812999999999,0.79,2,7,1,0.09823999,0.0097404159979283
PVT1,hgnc:mesh:D009362,hgnc:mesh:D008175,RPL19,Activation,Activation,IncreaseAmount,0.9497812999999999,0.9986524999895591,0.86,7,1,1,0.07042302,0.0098213029874411
PVT1,hgnc:mesh:D009369,ATF4,SIGMAR1,Inhibition,Activation,IncreaseAmount,0.99916994,0.949271,0.941,1,4,1,0.54848653,0.009930318787546
PVT1,hgnc:go:0008283,hgnc:chebi:78741,SPG7,Activation,Inhibition,IncreaseAmount,0.9974999733633793,0.86,0.89,29,2,1,0.47677988,0.011342599177915
PVT1,hgnc:fplx:TGFB,hgnc:chebi:4903,FAM136A,Activation,Activation,IncreaseAmount,0.979665,0.86,0.89,1,2,1,0.36469126,0.0115422256485473
PVT1,hgnc:mesh:D001835,RN7SL179P,EXOC6B,Activation,Inhibition,IncreaseAmount,0.86,0.86,0.89,2,1,1,0.5258671,0.0116884693245593
PVT1,hgnc:uniprot:Q9ZPE7,RB1,LUC7L3,Complex,Complex,DecreaseAmount,0.94757,0.94757,0.95,5,5,2,0.3286922,0.0118951417178479
PVT1,hgnc:uniprot:P32554,hgnc:uniprot:Q54X03,DANCR,Complex,Complex,IncreaseAmount,0.9419,0.9497812999999999,0.9419,4,7,4,0.42893595,0.0119300390343326
PVT1,hgnc:uniprot:Q8L925,hgnc:mesh:D063646,PGK1,Complex,Activation,IncreaseAmount,0.923,0.9499940951,0.86,3,10,2,0.283681,0.0119725363597315
PVT1,MYC,NRF1,SRRM2,Inhibition,Complex,DecreaseAmount,0.98922,0.923,0.79,5,3,1,0.22849579,0.012327648701446
PVT1,hgnc:uniprot:P32554,hgnc:mesh:D052638,ATG4B,Complex,Complex,DecreaseAmount,0.9419,0.923,0.89,4,3,1,0.7503765,0.0125739013711375
PVT1,hgnc:uniprot:P32554,hgnc:mesh:D052638,MRPL47,Complex,Complex,DecreaseAmount,0.9419,0.923,0.89,4,3,1,0.34949818,0.0129357978653666
PVT1,HIF1A,hgnc:uniprot:Q776B5,GAL,Complex,IncreaseAmount,IncreaseAmount,0.94757,0.86,0.923,5,2,3,1.0785499,0.0132237138644382
PVT1,hgnc:mesh:D009369,hgnc:mesh:D015470,MSI2,Inhibition,Activation,IncreaseAmount,0.99916994,0.982499944198695,0.86,1,3,2,0.43376723,0.013456074786993
PVT1,hgnc:uniprot:Q9ZPE7,hgnc:uniprot.chain:PRO_0000032458,CDK4,Complex,Complex,IncreaseAmount,0.94757,0.86,0.923,5,2,3,0.34459925,0.0135600851793398
PVT1,hgnc:uniprot:P32554,hgnc:mesh:D052638,RPL12,Complex,Complex,DecreaseAmount,0.9419,0.923,0.89,4,3,1,0.07699912,0.0147258574831208
PVT1,hgnc:uniprot:Q9W4S7,PSG11,MRPS25,Complex,Complex,DecreaseAmount,0.86,0.9499999956953279,0.89,2,16,1,0.4428092,0.0148273840377909
PVT1,hgnc:mesh:D009369,HSF2,CCT4,Inhibition,DecreaseAmount,IncreaseAmount,0.99916994,0.86,0.89,1,2,1,0.2443554,0.0148627101413358
PVT1,hgnc:uniprot:P32554,hgnc:mesh:D052638,KCTD12,Complex,Complex,IncreaseAmount,0.9419,0.923,0.98,4,3,1,0.31987312,0.0149406887223765
PVT1,hgnc:uniprot:Q8L925,hgnc:mesh:D007239,HSP90AB1,Complex,Activation,IncreaseAmount,0.923,0.86,0.8775000000000001,3,1,1,0.109741725,0.0150752051030264
PVT1,hgnc:uniprot:Q08193,YY1,RPL18A,Complex,Complex,DecreaseAmount,0.949271,0.86,0.79,6,2,1,0.07392584,0.0162481162796482
PVT1,FOXM1,hgnc:uniprot:P04591,RPSA,Complex,Activation,IncreaseAmount,0.9824999995480095,0.86,0.86,18,2,2,0.06907063,0.0163346495208266
PVT1,NOTCH1,KRT8P33,SNHG3,Activation,Inhibition,DecreaseAmount,0.86,0.923,0.98,2,3,2,0.35966596,0.0165266710846795
PVT1,hgnc:mesh:D009369,PAX2,SERBP1,Inhibition,IncreaseAmount,DecreaseAmount,0.99916994,0.86,0.79,1,1,1,0.12286759,0.016757690499855
PVT1,hgnc:uniprot:Q9W4S7,POU1F1,MRPS23,Complex,Complex,DecreaseAmount,0.86,0.949271,0.79,2,6,1,0.44497982,0.0168049084690414
PVT1,hgnc:mesh:D009369,POU2F1,DPH5,Inhibition,IncreaseAmount,DecreaseAmount,0.99916994,0.86,0.79,1,1,1,0.38625786,0.0170609964841496
PVT1,hgnc:mesh:D009369,POU2F1,MT-ND2,Inhibition,IncreaseAmount,DecreaseAmount,0.99916994,0.86,0.79,1,1,1,0.13355605,0.0189964998649529
PVT1,NOTCH1,hgnc:uniprot:P27958,FADS1,Activation,Activation,IncreaseAmount,0.86,0.86,0.86,2,2,2,0.29340416,0.0194191381481387
PVT1,hgnc:mesh:D009369,MIR6079,MRPS2,Inhibition,IncreaseAmount,IncreaseAmount,0.99916994,0.9929908146,0.89,1,1,1,0.56906575,0.0196490055856844
PVT1,EZH2,INHBB,HUS1,Inhibition,Complex,DecreaseAmount,0.86,0.86,0.89,2,2,1,0.8685188,0.0198213363990675
PVT1,hgnc:uniprot:Q9ZPE7,hgnc:uniprot.chain:PRO_0000032458,CDKN1A,Complex,Complex,DecreaseAmount,0.94757,0.86,0.94757,5,2,5,0.2495309,0.0199073428094074
PVT1,hgnc:uniprot:Q9ZPE7,hgnc:mesh:D009369,PA2G4,Complex,Activation,DecreaseAmount,0.94757,0.86,0.86,5,1,1,0.20762946,0.0202599370250241
PVT1,hgnc:uniprot:Q8L925,MAGEA3,UBE2G2,Complex,Complex,DecreaseAmount,0.923,0.923,0.89,3,3,1,0.31930104,0.0204864111952868
PVT1,NDRG1,PLAG1,RNASEH1,Complex,Complex,DecreaseAmount,0.94993439,0.9419,0.89,8,4,1,0.444414,0.0215638582059877
