source,target,classification
GNAS,TMA7,experimental_pairs
MRPL3,ACTN4,experimental_pairs
GPR162,TRAPPC3,experimental_pairs
TRIB1,CYP51A1,experimental_pairs
DMRTA1,BCCIP,experimental_pairs
TMED10,TADA3,experimental_pairs
SEC11C,SPTSSA,experimental_pairs
GLI2,RPL13,experimental_pairs
NOS3,APPL1,experimental_pairs
SVIL,TMEM230,experimental_pairs
CX3CL1,ENSA,experimental_pairs
AGTRAP,RPL12,experimental_pairs
ENSA,NSD1,experimental_pairs
STAC3,RUVBL1,experimental_pairs
THADA,FAM76A,experimental_pairs
BLOC1S3,CAVIN1,experimental_pairs
ARG2,HRAS,experimental_pairs
ZSWIM3,DUSP1,experimental_pairs
PLPP3,SNX6,experimental_pairs
QTRT1,RAC2,experimental_pairs
SLC22A4,DHX36,experimental_pairs
TMED10,IFITM2,experimental_pairs
EMP2,GFPT2,experimental_pairs
ITGA1,BMP1,experimental_pairs
MICALL2,UAP1,experimental_pairs
TMED10,ATP5F1E,experimental_pairs
UIMC1,FYTTD1,experimental_pairs
CDH13,NAA10,experimental_pairs
DMRTA1,BLVRB,experimental_pairs
MRPL3,STRAP,experimental_pairs
FLI1,MRPL40,experimental_pairs
HMGCR,CAV1,experimental_pairs
MANEA,HSPH1,experimental_pairs
CHUK,FLNA,experimental_pairs
CYTH3,CCDC186,experimental_pairs
GABARAPL2,HECTD4,experimental_pairs
CDH13,MTIF3,experimental_pairs
STAC3,GTF2E2,experimental_pairs
LAPTM4A,BACE2,experimental_pairs
GSTO2,SOD1,experimental_pairs
ZNF827,TIMM10,experimental_pairs
OASL,NME4,experimental_pairs
XPO7,SET,experimental_pairs
CHUK,EMD,experimental_pairs
GNAS,BASP1,experimental_pairs
GPSM3,MRPS18C,experimental_pairs
NOTCH4,SMARCE1,experimental_pairs
WDR47,B4GALT5,experimental_pairs
IFI27L2,SPPL2A,experimental_pairs
B3GNT8,PDGFB,experimental_pairs
ZNF581,ZNF581,experimental_pairs
KDELR2,HMGA1,experimental_pairs
PCMTD2,GPX4,experimental_pairs
PHRF1,LAMB1,experimental_pairs
MICALL2,EMD,experimental_pairs
REPIN1,POLR2J,experimental_pairs
TMED10,IMP4,experimental_pairs
ZNF774,FHL2,experimental_pairs
PLXNB1,RNF181,experimental_pairs
LAG3,MDH1,experimental_pairs
IRF3,UBE2Z,experimental_pairs
TLR4,LINC01184,experimental_pairs
TAOK1,CCT2,experimental_pairs
SEC61A2,CISD1,experimental_pairs
MUS81,MOCS2,experimental_pairs
UHRF1BP1,IDI1,experimental_pairs
TMEM115,CTSL,experimental_pairs
AAGAB,VARS,experimental_pairs
SLC2A6,VAMP5,experimental_pairs
CDKN2B,TIMP2,experimental_pairs
SLC2A11,CCDC43,experimental_pairs
