source,intermediate,target,stmt_type_1,stmt_type_2,belief_1,belief_2,evidence_1,evidence_2,logfoldchange,pvalue
SMAD3,hgnc:6081,FLT1,Complex,IncreaseAmount,0.86,0.86,2,2,0.5718594,0.0003684610745881
SMAD3,hgnc:6081,FLT1,IncreaseAmount,IncreaseAmount,0.9804,0.86,3,2,0.5718594,0.0003684610745881
SMAD3,hgnc:6081,FLT1,DecreaseAmount,IncreaseAmount,0.9419,0.86,4,2,0.5718594,0.0003684610745881
SMAD3,hgnc:6081,FLT1,Activation,IncreaseAmount,0.9419,0.86,4,2,0.5718594,0.0003684610745881
SMAD3,hgnc:6081,FLT1,Inhibition,IncreaseAmount,0.9499940951,0.86,10,2,0.5718594,0.0003684610745881
SMAD3,hgnc:603,FLT1,Complex,IncreaseAmount,0.98,0.65,1,1,0.5718594,0.0003684610745881
SMAD3,hgnc:6025,FLT1,DecreaseAmount,IncreaseAmount,0.65,0.996227,1,6,0.5718594,0.0003684610745881
SMAD3,hgnc:5992,FLT1,DecreaseAmount,DecreaseAmount,0.65,0.65,1,1,0.5718594,0.0003684610745881
SMAD3,hgnc:5992,FLT1,Activation,DecreaseAmount,0.65,0.65,1,1,0.5718594,0.0003684610745881
SMAD3,hgnc:5992,FLT1,IncreaseAmount,DecreaseAmount,0.65,0.65,1,1,0.5718594,0.0003684610745881
SMAD3,hgnc:5992,FLT1,Complex,DecreaseAmount,0.65,0.65,1,1,0.5718594,0.0003684610745881
SMAD3,hgnc:5992,FLT1,Inhibition,DecreaseAmount,0.65,0.65,1,1,0.5718594,0.0003684610745881
SMAD3,hgnc:5992,FLT1,DecreaseAmount,IncreaseAmount,0.65,0.923,1,3,0.5718594,0.0003684610745881
SMAD3,hgnc:5992,FLT1,Activation,IncreaseAmount,0.65,0.923,1,3,0.5718594,0.0003684610745881
SMAD3,hgnc:5992,FLT1,IncreaseAmount,IncreaseAmount,0.65,0.923,1,3,0.5718594,0.0003684610745881
SMAD3,hgnc:5992,FLT1,Complex,IncreaseAmount,0.65,0.923,1,3,0.5718594,0.0003684610745881
SMAD3,hgnc:5992,FLT1,Inhibition,IncreaseAmount,0.65,0.923,1,3,0.5718594,0.0003684610745881
SMAD3,hgnc:5962,FLT1,Activation,DecreaseAmount,0.951,0.65,3,1,0.5718594,0.0003684610745881
SMAD3,hgnc:5962,FLT1,Complex,DecreaseAmount,0.86,0.65,2,1,0.5718594,0.0003684610745881
SMAD3,hgnc:5962,FLT1,IncreaseAmount,DecreaseAmount,0.987799,0.65,3,1,0.5718594,0.0003684610745881
SMAD3,hgnc:5962,FLT1,Inhibition,DecreaseAmount,0.86,0.65,2,1,0.5718594,0.0003684610745881
