source,target,stmt_type,belief,evidence_count,logfoldchange,pval
TP53,VKORC1L1,IncreaseAmount,0.65,1,0.48635593,0.0025495899348836
TP53,ANKRD11,IncreaseAmount,0.941,1,0.46221793,1.1183918603164825e-07
TP53,ANKRD11,DecreaseAmount,0.65,1,0.46221793,1.1183918603164825e-07
TP53,ATG3,IncreaseAmount,0.65,1,0.4579857,0.0038089648518067
TP53,CLTC,DecreaseAmount,0.86,2,-0.24118099,0.0209507784923926
TP53,CLOCK,IncreaseAmount,0.65,1,0.5986918,0.017037610295702
TP53,CLOCK,DecreaseAmount,0.923,3,0.5986918,0.017037610295702
TP53,HNRNPK,IncreaseAmount,0.65,1,0.1703249,0.0109410952207212
TP53,HNRNPK,IncreaseAmount,0.923,2,0.1703249,0.0109410952207212
TP53,HNRNPA2B1,IncreaseAmount,0.65,1,0.49665388,3.4290316026019072e-12
TP53,HNRNPA2B1,DecreaseAmount,0.65,1,0.49665388,3.4290316026019072e-12
TP53,HNRNPA0,DecreaseAmount,0.95,2,0.45899087,0.0033343267248342
TP53,HMMR,IncreaseAmount,0.65,1,1.9903723,6.294091884640474e-06
TP53,HMMR,DecreaseAmount,0.98224485,7,1.9903723,6.294091884640474e-06
TP53,HMGB2,DecreaseAmount,0.923,3,1.8423183,3.861241504951152e-21
TP53,HMGB2,IncreaseAmount,0.86,2,1.8423183,3.861241504951152e-21
TP53,HMGB1,DecreaseAmount,0.98922,5,0.7372711,5.5779169920002644e-39
TP53,HMGB1,IncreaseAmount,0.9497812999999999,7,0.7372711,5.5779169920002644e-39
TP53,HLA-A,DecreaseAmount,0.65,1,-0.12616426,0.0464062059080467
TP53,HLA-A,IncreaseAmount,0.65,1,-0.12616426,0.0464062059080467
TP53,HDGF,DecreaseAmount,0.9926598,7,0.3564033,0.0016464128270625
TP53,PPIB,DecreaseAmount,0.65,1,-0.17066424,0.0005794606559511
TP53,PPIA,IncreaseAmount,0.65,1,0.11900934,0.0009422515020967
TP53,PNN,IncreaseAmount,0.65,1,0.5861537,7.733761328401862e-06
TP53,PMAIP1,IncreaseAmount,0.987599,2,0.70463485,0.0044709767486216
TP53,PMAIP1,DecreaseAmount,0.86,2,0.70463485,0.0044709767486216
TP53,PMAIP1,IncreaseAmount,0.65,1,0.70463485,0.0044709767486216
TP53,PMAIP1,IncreaseAmount,0.65,1,0.70463485,0.0044709767486216
TP53,PMAIP1,DecreaseAmount,0.9961331601,8,0.70463485,0.0044709767486216
TP53,PMAIP1,IncreaseAmount,0.923,2,0.70463485,0.0044709767486216
TP53,PMAIP1,IncreaseAmount,0.999999298165405,58,0.70463485,0.0044709767486216
TP53,PLK1,DecreaseAmount,0.65,1,1.542072,0.0225393341547604
TP53,PLK1,IncreaseAmount,0.86,2,1.542072,0.0225393341547604
TP53,PLK1,DecreaseAmount,0.65,1,1.542072,0.0225393341547604
TP53,PLK1,IncreaseAmount,0.949271,4,1.542072,0.0225393341547604
TP53,PLK1,DecreaseAmount,0.99746355,36,1.542072,0.0225393341547604
TP53,PLK1,DecreaseAmount,0.65,1,1.542072,0.0225393341547604
TP53,PLAT,DecreaseAmount,0.8775000000000001,2,-0.3725512,4.198673673604865e-05
TP53,CKS2,IncreaseAmount,0.65,1,1.168087,3.9955282196649674e-11
TP53,CKS2,DecreaseAmount,0.98922,5,1.168087,3.9955282196649674e-11
TP53,CYCS,DecreaseAmount,0.86,2,0.54931784,1.1312772673445543e-09
