source,target,stmt_type,english_stmt,belief,evidence_count,logfoldchange,pval,stmt_hash,source_counts
HIF1A,HUWE1,IncreaseAmount,,0.6163664161553967,1,0.33722338,0.0499821171794213,20792355563157933,{'medscan': 1}
HIF1A,APEX1,IncreaseAmount,,0.48445268803510766,1,-0.33627504,0.0439593176840549,-13267977034806639,{'reach': 1}
HIF1A,APEX1,DecreaseAmount,,0.673461091974326,2,-0.33627504,0.0439593176840549,-26486807970580642,"{'medscan': 1, 'trrust': 1}"
HIF1A,ATG12,DecreaseAmount,,0.47385749870081684,1,-0.51674914,0.0409066208640222,7250029792346884,{'reach': 1}
HIF1A,LDHB,IncreaseAmount,,0.48445268803510766,1,-0.16105886,0.0248400493980227,18084373094281947,{'reach': 1}
HIF1A,LDHB,DecreaseAmount,,0.6044755234592698,3,-0.16105886,0.0248400493980227,-4358618237850864,"{'reach': 2, 'medscan': 1}"
HIF1A,EPAS1,DecreaseAmount,,0.47385749870081684,1,-0.51184994,0.0209171606115409,-22706085388559339,{'reach': 1}
HIF1A,EPAS1,IncreaseAmount,,0.6875954136240492,6,-0.51184994,0.0209171606115409,11977718494373541,"{'reach': 5, 'medscan': 1}"
HIF1A,EPAS1,DecreaseAmount,,0.7176217560228132,20,-0.51184994,0.0209171606115409,3262851778308851,"{'medscan': 6, 'reach': 14}"
HIF1A,PRDX2,IncreaseAmount,,0.48445268803510766,1,-0.3174951,0.0117748511629572,-22539470969276866,{'reach': 1}
HIF1A,COX8A,DecreaseAmount,,0.47385749870081684,1,-0.21608785,0.004657550080023,-15442722068807408,{'reach': 1}
GLI2,YY1,DecreaseAmount,,0.47385749870081684,1,-0.3116018,0.0437480970967306,-21717228195602143,{'reach': 1}
EVL,CFL1,IncreaseAmount,,0.48445268803510766,1,0.15382816,0.0066347264210461,15143160303952127,{'reach': 1}
ZNF281,TP53,DecreaseAmount,,0.47385749870081684,1,0.56425494,0.0264357548040988,7342695696449431,{'reach': 1}
EHMT2,CCND1,IncreaseAmount,,0.6163664161553967,1,-0.25071907,0.0043575434779654,1385538546782703,{'medscan': 1}
DHODH,CDKN1A,IncreaseAmount,,0.48445268803510766,1,0.26385847,0.0477798420158112,-13475688260971704,{'reach': 1}
TRAF6,CCN2,IncreaseAmount,,0.47153156304100474,2,0.5287909,0.0006783142011848,24637392208724723,{'reach': 2}
TRAF6,HIF1A,IncreaseAmount,,0.7464860804805521,13,0.40533268,0.003631975299527,-141822653278160,"{'reach': 9, 'medscan': 4}"
TRAF6,SQSTM1,IncreaseAmount,,0.48445268803510766,1,-0.2870793,0.0471567729757284,1632652404727434,{'reach': 1}
